"Entity","Code","World.Region.according.to.the.World.Bank","Combined.total.net.enrolment.rate..primary..both.sexes","Total.net.enrolment.rate..primary..gender.parity.index..GPI.","Learning.Adjusted.Years.of.School","Harmonized.Test.Scores","GDP.per.capita..PPP..constant.2017.international..."
"Nepal","NPL","South Asia",96.2984,0.92619,7.226661,368.5576,3761.8027
"Netherlands","NLD","Europe and Central Asia",98.64765,1.00747,11.539022,519.63464,54275.004
"New Zealand","NZL","East Asia and Pacific",99.11677,1.00564,11.390235,519.7484,42052.14
"Nicaragua","NIC","Latin America and Caribbean",90.3769548951049,0.997059034482759,6.747723,391.99045,5230.574
"Niger","NER","Sub-Saharan Africa",65.12458,0.87826,2.682462,304.92224,1214.541
"Nigeria","NGA","Sub-Saharan Africa",90.3769548951049,0.997059034482759,5.0383425,309.02496,4865.087
"North Macedonia","MKD","Europe and Central Asia",94.8883,0.99817,7.296405,413.6173,15779.787
"Norway","NOR","Europe and Central Asia",99.88251,0.99999,11.233873,513.5878,63776.16
"Oman","OMN","Middle East and North Africa",86.25355,1.05706,8.644991,423.51343,33098.21
"Pakistan","PAK","South Asia",67.5748,0.8513,5.079235,338.65656,5004.352
"Palau","PLW","East Asia and Pacific",90.3769548951049,0.997059034482759,8.692236,463.21146,16404.549
"Palestine","PSE","Middle East and North Africa",94.84281,1.0005,8.047291,412.31775,5402.5386
"Panama","PAN","Latin America and Caribbean",86.23979,0.9929,6.4808674,376.8647,26606.295
"Papua New Guinea","PNG","East Asia and Pacific",73.65048,0.93826,5.9989457,363.32062,3741.6616
"Paraguay","PRY","Latin America and Caribbean",90.3769548951049,0.997059034482759,6.976486,385.54428,13317.321
"Peru","PER","Latin America and Caribbean",95.65167,0.96423,8.632247,415.02542,11187.344
"Philippines","PHL","East Asia and Pacific",93.7756,0.99398,7.492334,361.646,7773.2603
"Poland","POL","Europe and Central Asia",95.78475,1.00682,11.374183,530.0858,32546.826
"Portugal","PRT","Europe and Central Asia",97.56411,0.99149,11.310053,508.5149,32011.324
"Qatar","QAT","Middle East and North Africa",94.09431,1.03146,8.77822,427.47784,89019.07
"Romania","ROU","Europe and Central Asia",82.22835,0.99737,8.369189,442.16174,29057.408
"Russia","RUS","Europe and Central Asia",95.09612,0.99664,10.898087,497.54623,26586.555
"Rwanda","RWA","Sub-Saharan Africa",94.78978,1.00312,3.9257712,358.08398,2066.4717
"Saint Kitts and Nevis","KNA","Latin America and Caribbean",93.7852,0.9784,8.477751,409.07446,26678.33
"Saint Lucia","LCA","Latin America and Caribbean",95.39814,1.03461,8.4803295,417.76065,11651.172
"Saint Vincent and the Grenadines","VCT","Latin America and Caribbean",93.58439,1.05875,7.71073,391.3927,13690.9
"Samoa","WSM","East Asia and Pacific",94.41308,1.021,7.2451687,369.9079,6062.4717
"Saudi Arabia","SAU","Middle East and North Africa",94.5456,0.98446,7.8881774,398.96893,44770.91
"Senegal","SEN","Sub-Saharan Africa",75.3821,1.13524,4.838319,412.45386,3384.442
"Serbia","SRB","Europe and Central Asia",94.55098,0.9982,9.752607,457.4535,18262.799
"Seychelles","SYC","Sub-Saharan Africa",92.21011,1.04891,9.700825,463.37933,26704.926
"Sierra Leone","SLE","Sub-Saharan Africa",98.11179,1.02791,4.8547077,315.87595,1586.355
"Singapore","SGP","East Asia and Pacific",99.66959,1.00142,12.81329,575.27216,94910.1
"Slovakia","SVK","Europe and Central Asia",83.09318,1.00308,9.799783,485.35,30960.959
"Slovenia","SVN","Europe and Central Asia",98.26288,1.00454,11.370939,520.809,37155.023
"Solomon Islands","SLB","East Asia and Pacific",67.47257,1.00521,4.675106,350.51862,2469.1743
"South Africa","ZAF","Sub-Saharan Africa",87.01258,1.01883,5.603404,342.76398,12866.569
"South Korea","KOR","East Asia and Pacific",97.25516,0.99958,11.684028,537.2097,42396.76
"South Sudan","SSD","Sub-Saharan Africa",35.20717,0.77164,2.5113463,424.454429883041,20459.0298643275
"Spain","ESP","Europe and Central Asia",97.27171,1.00494,10.514696,506.6212,36051.418
"Sri Lanka","LKA","South Asia",99.10711,0.9891,8.462184,400,12939.44
"Sudan","SDN","Sub-Saharan Africa",60.00534,0.97836,4.301438,379.63367,3874.8003
